instnm,Institution (entity) name (HD2018),Street address or post office box (HD2018),City location of institution (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA1718),Average net price-students awarded grant or scholarship aid  2017-18 (SFA1718),Applicants total (ADM2018),Admissions total (ADM2018),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2018),SAT Math 25th percentile score (ADM2018),SAT Math 75th percentile score (ADM2018),ACT Composite 25th percentile score (ADM2018),ACT Composite 75th percentile score (ADM2018),Student-to-faculty ratio (EF2018D),
Adirondack Community College,Adirondack Community College,640 Bay Rd,Queensbury,-73.654813,43.351839,41,,,,,,,,,,16,
Adler Graduate School,Adler Graduate School,10225 Yellow Circle Dr.,Minnetonka,-93.410236,44.893479,,,,,,,,,,,,
Adler University,Adler University,17 North Dearborn Street,Chicago,-87.629156,41.882414,,,,,,,,,,,,
Adrian College,Adrian College,110 S Madison St,Adrian,-84.061481,41.898591,96,26710,5132,3326,470,580,470,576,19,26,14,
Adrian's College of Beauty Turlock,Adrian's College of Beauty Turlock,1340 W Main St,Turlock,-120.863784,37.491448,67,16353,,,,,,,,,13,
Adult and Community Education-Hudson,Adult and Community Education-Hudson,2323 Lexington Avenue,Columbus,-82.980603,40.012851,74,,32,30,,,,,,,22,
Adult and Continuing Education-BCTS,Adult and Continuing Education-BCTS,200A Hackensack Avenue,Hackensack,-74.035045,40.900877,64,,,,,,,,,,18,
Advance Beauty College,Advance Beauty College,10121 Westminster Ave,Garden Grove,-117.952637,33.759905,37,,,,,,,,,,30,
Advance Beauty Techs Academy,Advance Beauty Techs Academy,641 N State St Ste 1,San Jacinto,-117.517655,33.884074,48,15977,,,,,,,,,20,
Advance Science International College,Advance Science International College,3750 W 12 Ave,Hialeah,-80.307736,25.855863,67,24249,,,,,,,,,15,
Advanced Barber College and Hair Design,Advanced Barber College and Hair Design,2818 S International,Weslaco,-97.958247,26.131543,76,16310,,,,,,,,,20,
Advanced Beauty College,Advanced Beauty College,3959 N. Beltline Rd.,Irving,-96.992700,32.859493,100,4262,,,,,,,,,11,
Advanced Career Institute,Advanced Career Institute,1728 North Kelsey St,Visalia,-119.385330,36.344669,70,13843,,,,,,,,,12,
Advanced College,Advanced College,13180 Paramount Blvd.,South Gate,-118.157940,33.915383,34,23247,,,,,,,,,5,
