instnm,Institution (entity) name (HD2018),Street address or post office box (HD2018),City location of institution (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA1718),Average net price-students awarded grant or scholarship aid  2017-18 (SFA1718),Applicants total (ADM2018),Admissions total (ADM2018),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2018),SAT Math 25th percentile score (ADM2018),SAT Math 75th percentile score (ADM2018),ACT Composite 25th percentile score (ADM2018),ACT Composite 75th percentile score (ADM2018),Student-to-faculty ratio (EF2018D),
International Institute for Restorative Practices,International Institute for Restorative Practices,544 Main Street,Bethlehem,-75.381582,40.621540,,,,,,,,,,,,
International Institute of Cosmetology,International Institute of Cosmetology,632 Silas Deane Hwy,Wethersfield,-72.661782,41.707932,34,12205,,,,,,,,,12,
International Salon and Spa Academy,International Salon and Spa Academy,5707 N Academy Blvd,Colorado Springs,-104.786252,38.913621,68,13712,,,,,,,,,15,
International School of Beauty Inc,International School of Beauty Inc,72261 Hwy 111 Ste 121-B,Palm Desert,-116.403928,33.729555,60,9351,,,,,,,,,13,
International School of Cosmetology-Toni & Guy Hairdressing Academy,International School of Cosmetology-Toni & Guy Hairdressing Academy,8939 E Indian Bean Rd Ste B-2,Scottsdale,-111.889421,33.536609,55,15700,,,,,,,,,12,
International School of Skin Nailcare & Massage Therapy,International School of Skin Nailcare & Massage Therapy,5600 Roswell Rd NE Ste 10,Atlanta,-84.379687,33.908031,41,22044,,,,,,,,,20,
International Sports Sciences Association,International Sports Sciences Association,1015 Mark Avenue,Carpinteria,-119.486417,34.387680,27,,,,,,,,,,22,
International Technical College,International Technical College,104 Loaiza Cordero St,San Juan,-66.057312,18.416999,83,12882,,,,,,,,,8,
International Technological University,International Technological University,2711 North First Street,San Jose,-121.930991,37.388810,,,,,,,,,,,,
International Training Careers,International Training Careers,7360 SW 24th Street  Suite 31,Miami,-80.314727,25.746905,99,20053,,,,,,,,,14,
Inver Hills Community College,Inver Hills Community College,2500 80th St E,Inver Grove Heights,-93.055255,44.828599,50,,,,,,,,,,23,
Iona College,Iona College,715 North Ave,New Rochelle,-73.788046,40.925725,90,28131,10062,8871,500,590,490,580,20,26,16,
Iowa Central Community College,Iowa Central Community College,One Triton Circle,Fort Dodge,-94.202990,42.490067,50,,,,,,,,,,17,
Iowa Lakes Community College,Iowa Lakes Community College,19 S 7th St,Estherville,-94.817142,43.397996,40,,,,,,,,,,15,
Iowa School of Beauty-Des Moines,Iowa School of Beauty-Des Moines,3305 70th St,Des Moines,-93.711628,41.624684,68,7682,,,,,,,,,5,
Iowa School of Beauty-Marshalltown,Iowa School of Beauty-Marshalltown,112 Nicholas Dr,Marshalltown,-92.915054,42.015283,81,14467,,,,,,,,,2,
Iowa School of Beauty-Ottumwa,Iowa School of Beauty-Ottumwa,609 W Second St,Ottumwa,-92.417948,41.023340,60,10078,,,,,,,,,5,
Iowa School of Beauty-Sioux City,Iowa School of Beauty-Sioux City,3320 Line Drive,Sioux City,-96.365842,42.441812,81,,,,,,,,,,6,
Iowa State University,Iowa State University,1750 Beardshear Hall,Ames,-93.648504,42.026212,71,,18855,17082,548,682,544,652,22,28,19,
Iowa Wesleyan University,Iowa Wesleyan University,601 N Main Street,Mount Pleasant,-91.552459,40.973791,72,25016,3740,2170,460,540,468,520,19,23,10,
Iowa Western Community College,Iowa Western Community College,2700 College Rd,Council Bluffs,-95.797975,41.272168,46,,,,,,,,,,18,
Irell & Manella Graduate School of Biological Sciences at City of Hope,Irell & Manella Graduate School of Biological Sciences at City of Hope,1500 East Duarte Road,Duarte,-117.972791,34.129048,,,,,,,,,,,,
Irene's Myomassology Institute,Irene's Myomassology Institute,26061 Franklin Road,Southfield,-83.287169,42.480113,54,30279,,,,,,,,,20,
Irvine Valley College,Irvine Valley College,5500 Irvine Center Drive,Irvine,-117.777539,33.675381,40,,,,,,,,,,31,
Isabella Graham Hart School of Practical Nursing,Isabella Graham Hart School of Practical Nursing,1630 Portland Ave,Rochester,-77.583321,43.196863,85,,0,,,,,,,,9,
Island Drafting and Technical Institute,Island Drafting and Technical Institute,128 Broadway Rte 110,Amityville,-73.416761,40.675600,79,19866,,,,,,,,,25,
Isothermal Community College,Isothermal Community College,286 ICC Loop Road,Spindale,-81.911857,35.336728,52,,,,,,,,,,13,
Itasca Community College,Itasca Community College,1851 East Highway 169,Grand Rapids,-93.495550,47.241919,61,,,,,,,,,,19,
Itawamba Community College,Itawamba Community College,602 W Hill Street,Fulton,-88.412073,34.276519,81,,,,,,,,,,19,
Ithaca College,Ithaca College,953 Danby Road,Ithaca,-76.494136,42.422154,92,34827,15278,10472,,,,,,,10,
ITI Technical College,ITI Technical College,13944 Airline Hwy,Baton Rouge,-91.030485,30.369764,62,18119,,,,,,,,,15,
IVAEM College,IVAEM College,14 Calle Intendente Ramirez,Caguas,-66.033732,18.235020,100,6550,,,,,,,,,16,
Ivy Tech Community College,Ivy Tech Community College,50 W. Fall Creek Parkway N. Drive,Indianapolis,-86.158213,39.803753,43,,,,,,,,,,16,
IYRS School of Technology & Trades,IYRS School of Technology & Trades,449 Thames St,Newport,-71.314724,41.480948,55,22220,63,17,,,,,,,3,
J F Ingram State Technical College,J F Ingram State Technical College,5375 Ingram Rd,Deatsville,-86.392369,32.582312,100,,,,,,,,,,11,
J Michael Harrold Beauty Academy,J Michael Harrold Beauty Academy,2232 Wabash Ave,Terre Haute,-87.383391,39.470359,60,19532,,,,,,,,,16,
J Renee College,J Renee College,415 Airport Road,Elgin,-88.289545,42.070355,22,29042,,,,,,,,,8,
J Sargeant Reynolds Community College,J Sargeant Reynolds Community College,1651 East Parham Road,Richmond,-77.473918,37.636837,44,,,,,,,,,,18,
J's Barber College,J's Barber College,1207 Center Street,New Iberia,-91.829017,29.993445,63,11341,,,,,,,,,10,
J. F. Drake State Community and Technical College,J. F. Drake State Community and Technical College,3421 Meridian St N,Huntsville,-86.572885,34.771858,81,,,,,,,,,,15,
Jackson College,Jackson College,2111 Emmons Rd,Jackson,-84.403942,42.164830,55,,,,,,,,,,17,
Jackson State Community College,Jackson State Community College,2046 North Pky,Jackson,-88.780005,35.645571,83,,,,,,,,,,23,
Jackson State University,Jackson State University,1400 J R Lynch Street,Jackson,-90.207405,32.296105,74,,7680,5294,450,560,400,508,17,22,15,
Jacksonville College-Main Campus,Jacksonville College-Main Campus,105 B J Albritton Dr,Jacksonville,-95.281311,31.965846,46,7100,,,,,,,,,16,
Jacksonville State University,Jacksonville State University,700 Pelham Road North,Jacksonville,-85.765321,33.822938,67,,6033,3276,440,450,470,480,19,26,18,
Jacksonville University,Jacksonville University,2800 University Blvd N,Jacksonville,-81.604580,30.353227,75,21820,4298,3865,460,560,440,645,21,27,11,
James A Rhodes State College,James A Rhodes State College,4240 Campus Dr,Lima,-84.026319,40.738347,28,,,,,,,,,,14,
James Madison University,James Madison University,800 South Main Street,Harrisonburg,-78.870484,38.436311,35,,23149,16467,570,650,550,640,23,28,16,
James Rumsey Technical Institute,James Rumsey Technical Institute,3274  Hedgesville Road,Martinsburg,-77.978583,39.532800,61,,,,,,,,,,11,
James Sprunt Community College,James Sprunt Community College,133 James Sprunt Drive,Kenansville,-77.977639,34.946802,67,,,,,,,,,,10,
Jameson Health System,Jameson Health System,1211 Wilmington Ave,New Castle,-80.351833,41.013576,67,,4,4,,,,,,,6,
Jamestown Business College,Jamestown Business College,7 Fairmount Ave,Jamestown,-79.249601,42.095452,98,6703,160,144,,,,,,,29,
Jamestown Community College,Jamestown Community College,525 Falconer St,Jamestown,-79.218967,42.114600,45,,,,,,,,,,15,
Jarvis Christian College,Jarvis Christian College,PR 7631 Hwy 80 E,Hawkins,-95.181513,32.587942,97,12220,,,,,,,,,20,
Jay's Technical Institute,Jay's Technical Institute,11910 Fondren Meadow,Houston,-95.525281,29.648770,96,13861,,,,,,,,,29,
JB's Hair Design and Barber College,JB's Hair Design and Barber College,6008 S. Western,Oklahoma City,-97.528380,35.405519,78,11345,,,,,,,,,23,
Jean Madeline Aveda Institute,Jean Madeline Aveda Institute,315A Bainbridge St,Philadelphia,-75.148414,39.940744,47,17374,,,,,,,,,14,
Jefferson (Philadelphia University + Thomas Jefferson University),Jefferson (Philadelphia University + Thomas Jefferson University),4201 Henry Avenue,Philadelphia,-75.192645,40.022882,,,,,,,,,,,,
Jefferson College,Jefferson College,1000 Viking Drive,Hillsboro,-90.558954,38.259889,51,,,,,,,,,,18,
Jefferson College of Health Sciences,Jefferson College of Health Sciences,101 Elm Avenue SE,Roanoke,-79.939574,37.265985,95,25433,838,251,485,580,445,535,17,21,8,
Jefferson Community and Technical College,Jefferson Community and Technical College,109 E Broadway,Louisville,-85.753615,38.246027,77,,,,,,,,,,21,
Jefferson Community College,Jefferson Community College,1220 Coffeen St,Watertown,-75.935051,43.992827,54,,,,,,,,,,18,
Jefferson County Dubois Area Vocational Technical Practical Nursing Program,Jefferson County Dubois Area Vocational Technical Practical Nursing Program,576 Vo-Tech Road,Reynoldsville,-78.892397,41.109805,68,,22,18,,,,,,,8,
Jefferson Davis Community College,Jefferson Davis Community College,220 Alco Dr,Brewton,-87.085340,31.101254,,,,,,,,,,,,
Jefferson Lewis BOCES-Practical Nursing Program,Jefferson Lewis BOCES-Practical Nursing Program,20104 State Route 3,Watertown,-75.970140,43.970515,55,,,,,,,,,,8,
Jefferson Regional Medical Center School of Nursing,Jefferson Regional Medical Center School of Nursing,1600 West 40th Avenue,Pine Bluff,-92.018045,34.187831,70,,,,,,,,,,8,
Jefferson State Community College,Jefferson State Community College,2601 Carson Rd,Birmingham,-86.707233,33.652535,43,,,,,,,,,,20,
Jenks Beauty College,Jenks Beauty College,535 W. Main,Jenks,-95.975154,36.023435,65,9805,,,,,,,,,8,
Jenny Lea Academy of Cosmetology,Jenny Lea Academy of Cosmetology,74  Parkway Plaza Loop,Whitesburg,-82.838909,37.123363,86,7789,,,,,,,,,10,
Jenny Lea Academy of Cosmetology,Jenny Lea Academy of Cosmetology,222 E Unaka Ave,Johnson City,-82.354566,36.324390,79,11954,,,,,,,,,12,
Jersey College,Jersey College,546 U.S. Highway 46,Teterboro,-74.057936,40.862137,62,24366,120,68,,,,,,,22,
Jewish Theological Seminary of America,Jewish Theological Seminary of America,3080 Broadway,New York,-73.960582,40.811892,68,53557,139,65,690,760,650,760,30,34,6,
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Imaging,JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Imaging,1200 Park Ave & Randolph Rd,Plainfield,-74.404293,40.605982,44,,3,1,,,,,,,10,
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Nursing,JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Nursing,1200 Park Ave and Randolph Rd,Plainfield,-74.404293,40.605982,43,24984,23,17,,,,,,,10,
Jna Institute of Culinary Arts,Jna Institute of Culinary Arts,1212 S Broad St,Philadelphia,-75.167678,39.935232,78,14910,,,,,,,,,7,
Joe Kubert School of Cartoon and Graphic Art,Joe Kubert School of Cartoon and Graphic Art,37 Myrtle Ave,Dover,-74.552663,40.887315,39,24057,79,76,,,,,,,5,
Joffrey Ballet School,Joffrey Ballet School,434 Ave of the Americas,New York,-73.998566,40.734545,95,31037,2932,1984,,,,,,,18,
John A Gupton College,John A Gupton College,1616 Church St,Nashville,-86.794800,36.156633,67,13600,43,30,,,,,6,11,11,
John A Logan College,John A Logan College,700 Logan College Road,Carterville,-89.090210,37.747453,44,,,,,,,,,,22,
John Amico School of Hair Design,John Amico School of Hair Design,15301 South Cicero Avenue,Oak Forest,-87.736464,41.613957,52,11922,,,,,,,,,9,
John Brown University,John Brown University,2000 W University St,Siloam Springs,-94.560283,36.189812,75,22390,1094,844,580,695,530,670,23,30,14,
John C Calhoun State Community College,John C Calhoun State Community College,6250 U S Highway 31 N,Tanner,-86.949674,34.645844,49,,,,,,,,,,23,
John Carroll University,John Carroll University,1 John Carroll Boulevard,University Heights,-81.531338,41.491321,94,28765,4007,3336,550,640,540,650,22,28,13,
John D Rockefeller IV Career Center,John D Rockefeller IV Career Center,80 Rockefeller Circle,New Cumberland,-80.620719,40.532760,58,,,,,,,,,,10,
John F. Kennedy University,John F. Kennedy University,100 Ellinwood Way,Pleasant Hill,-122.054761,37.956616,77,,0,,,,,,,,6,
John Jay Beauty College,John Jay Beauty College,2844 Tennessee Ave,Kenner,-90.230259,30.007684,57,8424,,,,,,,,,18,
John Jay Beauty College,John Jay Beauty College,540 Robert E. Lee Blvd.,New Orleans,-90.107833,30.019238,74,3032,,,,,,,,,,
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,2144 Saratoga Ave,Ballston Spa,-73.840062,43.020972,58,18713,,,,,,,,,4,
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,638 Columbia Street Extension,Latham,-73.754969,42.762110,,,,,,,,,,,,
John Paul the Great Catholic University,John Paul the Great Catholic University,155 W. Grand Ave,Escondido,-117.082401,33.120850,98,29168,220,199,490,640,470,600,20,29,15,
John Tyler Community College,John Tyler Community College,13101 Jefferson Davis Hwy,Chester,-77.407919,37.346254,32,,,,,,,,,,23,
John Wesley International Barber and Beauty College,John Wesley International Barber and Beauty College,717 Pine Ave,Long Beach,-118.192659,33.775812,80,9341,,,,,,,,,25,
John Wesley University,John Wesley University,1215 Eastchester Drive,High Point,-79.998419,35.994259,,,,,,,,,,,,
John Wood Community College,John Wood Community College,1301 S 48th Street,Quincy,-91.335828,39.913741,76,,,,,,,,,,13,
Johnny Matthew's Hairdressing Training School,Johnny Matthew's Hairdressing Training School,255 Liberty St NE,Salem,-123.038361,44.941812,55,12826,,,,,,,,,15,
Johns Hopkins University,Johns Hopkins University,3400 N Charles St,Baltimore,-76.621595,39.328977,53,27868,29776,3417,710,760,740,800,33,35,7,
Johnson & Wales University-Charlotte,Johnson & Wales University-Charlotte,Academic Center  801 West Trade Street,Charlotte,-80.851208,35.233502,99,25964,3606,3090,,,,,,,19,
Johnson & Wales University-Denver,Johnson & Wales University-Denver,7150 Montview Blvd,Denver,-104.906281,39.746101,95,25941,2894,2511,,,,,,,13,
Johnson & Wales University-North Miami,Johnson & Wales University-North Miami,1701 NE 127th St,North Miami,-80.164797,25.894337,98,23724,4563,3811,,,,,,,20,
Johnson & Wales University-Online,Johnson & Wales University-Online,8 Abbott Park Pl,Providence,-71.412770,41.819956,49,18779,120,51,,,,,,,18,
Johnson & Wales University-Providence,Johnson & Wales University-Providence,8 Abbott Park Place,Providence,-71.412770,41.819956,91,28089,11802,10740,,,,,,,18,
Johnson C Smith University,Johnson C Smith University,100 Beatties Ford Road,Charlotte,-80.857251,35.243033,94,18991,6369,2919,420,490,390,490,14,18,12,
Johnson College,Johnson College,3427 N Main Ave,Scranton,-75.642476,41.450409,76,17589,196,189,,,,,,,9,
Johnson County Community College,Johnson County Community College,12345 College Blvd,Overland Park,-94.727798,38.924125,28,,,,,,,,,,20,
Johnson University,Johnson University,7900 Johnson Dr,Knoxville,-83.750273,35.937193,88,18684,348,248,530,630,520,610,20,25,10,
Johnson University Florida,Johnson University Florida,1011 Bill Beck Blvd,Kissimmee,-81.363053,28.302547,96,14340,133,87,480,570,430,540,16,21,10,
Johnston Community College,Johnston Community College,245 College Road,Smithfield,-78.332293,35.501418,35,,,,,,,,,,15,
Jolie Hair and Beauty Academy-Hazleton,Jolie Hair and Beauty Academy-Hazleton,1057A North Church Street,Hazleton,-75.977485,40.974924,57,16418,,,,,,,,,12,
Jolie Hair and Beauty Academy-Ludlow,Jolie Hair and Beauty Academy-Ludlow,44 Sewall Street,Ludlow,-72.480436,42.157816,79,10222,,,,,,,,,17,
Jolie Hair and Beauty Academy-Northfield,Jolie Hair and Beauty Academy-Northfield,801 Tilton Road,Northfield,-74.554569,39.383782,84,14733,,,,,,,,,15,
Jolie Hair and Beauty Academy-Wilkes-Barre,Jolie Hair and Beauty Academy-Wilkes-Barre,125 N Wilkes Barre Blvd,Wilkes Barre,-75.873780,41.243358,63,16348,,,,,,,,,10,
Jolie Health & Beauty Academy-Cherry Hill,Jolie Health & Beauty Academy-Cherry Hill,1490 Berlin Rd Ste 21,Cherry Hill,-75.005249,39.880166,76,14098,,,,,,,,,11,
Jolie Health and Beauty Academy-Turnersville,Jolie Health and Beauty Academy-Turnersville,5200 Route 42,Turnersville,-75.044514,39.753827,71,14348,,,,,,,,,9,
Joliet Junior College,Joliet Junior College,1215 Houbolt Rd,Joliet,-88.180985,41.500535,26,,,,,,,,,,22,
Jones County Junior College,Jones County Junior College,900 South Court Street,Ellisville,-89.200895,31.596936,65,,,,,,,,,,25,
Jose Maria Vargas University,Jose Maria Vargas University,10131 Pines Boulevard,Pembroke Pines,-80.281548,26.009656,3,,,,,,,,,,12,
Josef's School of Hair Design Inc-Fargo Downtown,Josef's School of Hair Design Inc-Fargo Downtown,627 NP Avenue,Fargo,-96.789209,46.876136,,,,,,,,,,,,
Josef's School of Hair  Skin & Body-Fargo,Josef's School of Hair  Skin & Body-Fargo,3223 13 AVE S  Ste A,Fargo,-96.831830,46.862160,41,12230,,,,,,,,,13,
Josef's School of Hair  Skin & Body-Grand Forks,Josef's School of Hair  Skin & Body-Grand Forks,2011 South Washington ST,Grand Forks,-97.044408,47.900289,53,13343,,,,,,,,,16,
Joseph F McCloskey School of Nursing at Schuylkill Health,Joseph F McCloskey School of Nursing at Schuylkill Health,450 Washington and Jackson St,Pottsville,-76.189164,40.683923,97,,,,,,,,,,7,
Joseph's College Cosmetology,Joseph's College Cosmetology,5801 O Street,Lincoln,-96.641412,40.813101,91,11176,,,,,,,,,8,
Judson College,Judson College,302 Bibb St,Marion,-87.315206,32.629253,94,16348,529,255,550,585,480,580,17,23,5,
Judson University,Judson University,1151 N State St,Elgin,-88.291336,42.061754,52,21437,552,392,470,590,480,590,19,25,8,
Jung Tao School of Classical Chinese Medicine,Jung Tao School of Classical Chinese Medicine,207 Dale Adams Road,Sugar Grove,-81.785303,36.263233,,,,,,,,,,,,
Juniata College,Juniata College,1700 Moore St,Huntingdon,-78.017292,40.500523,100,28154,2437,1710,,,,,,,11,
Jupiter Beauty Academy,Jupiter Beauty Academy,95 Freeport Street,Boston,-71.057468,42.305343,2,,,,,,,,,,12,
JZ Trend Academy Paul Mitchell Partner School,JZ Trend Academy Paul Mitchell Partner School,1320 Tacoma Avenue,Bismarck,-100.771031,46.783219,51,15104,,,,,,,,,16,
K & G 5 Star Barber College,K & G 5 Star Barber College,409 Crimson Coast Dr,League City,-95.088354,29.443105,73,15082,,,,,,,,,4,
Kaizen Beauty Academy,Kaizen Beauty Academy,8405 Pines Boulevard,Pembroke Pines,-80.255473,26.010280,9,16723,,,,,,,,,15,
Kalamazoo College,Kalamazoo College,1200 Academy St,Kalamazoo,-85.601857,42.290789,99,25903,3371,2454,,,,,,,13,
Kalamazoo Valley Community College,Kalamazoo Valley Community College,6767 West O Ave,Kalamazoo,-85.682144,42.225948,43,,,,,,,,,,16,
Kankakee Community College,Kankakee Community College,100 College Drive,Kankakee,-87.851047,41.098178,43,,,,,,,,,,13,
Kansas Christian College,Kansas Christian College,7401 Metcalf,Overland Park,-94.666878,38.994848,51,10174,,,,,,,,,11,
Kansas City Art Institute,Kansas City Art Institute,4415 Warwick Blvd,Kansas City,-94.583594,39.046353,100,31399,659,456,,,,,,,9,
Kansas City Kansas Community College,Kansas City Kansas Community College,7250 State Ave,Kansas City,-94.748061,39.121911,48,,,,,,,,,,13,
Kansas City University of Medicine and Biosciences,Kansas City University of Medicine and Biosciences,1750 Independence Ave,Kansas City,-94.561374,39.107553,,,,,,,,,,,,
Kansas City University of Medicine and Biosciences-Joplin,Kansas City University of Medicine and Biosciences-Joplin,2901 St. John's Boulevard,Joplin,-94.527028,37.057686,,,,,,,,,,,,
Kansas State University,Kansas State University,919 Mid-Campus Drive  Anderson Hall,Manhattan,-96.581077,39.188648,62,,8685,8112,,,,,,,18,
Kansas Wesleyan University,Kansas Wesleyan University,100 E. Claflin Ave.,Salina,-97.607973,38.813795,96,25221,861,403,480,590,500,580,20,25,10,
Kapiolani Community College,Kapiolani Community College,4303 Diamond Head Road,Honolulu,-157.800213,21.271480,28,,,,,,,,,,17,
Kaskaskia College,Kaskaskia College,27210 College Rd,Centralia,-89.191974,38.562112,40,,,,,,,,,,18,
Kauai Community College,Kauai Community College,3-1901 Kaumualii Highway,Lihue,-159.395883,21.968887,45,,,,,,,,,,11,
KC's School of Hair Design,KC's School of Hair Design,187 HWY 15N,Pontotoc,-89.018705,34.255442,62,12374,,,,,,,,,14,
KCK Beauty & Barber Academy,KCK Beauty & Barber Academy,10592 Balmoral Circle East,Jacksonville,-81.652099,30.428106,14,9815,,,,,,,,,10,
KD Conservatory College of Film and Dramatic Arts,KD Conservatory College of Film and Dramatic Arts,2600 Stemmons Fwy Ste 117,Dallas,-96.841975,32.808265,64,17280,55,38,,,,,,,10,
Kean University,Kean University,1000 Morris Avenue,Union,-74.233503,40.677981,55,,9082,7809,450,540,440,540,17,22,17,
Keck Graduate Institute,Keck Graduate Institute,535 Watson Dr,Claremont,-117.723510,34.093329,,,,,,,,,,,,
Keene Beauty Academy,Keene Beauty Academy,800 Park Ave,Keene,-72.321097,42.948977,75,12813,,,,,,,,,13,
Keene State College,Keene State College,229 Main Street,Keene,-72.279276,42.926452,78,,4958,4034,490,580,470,560,18,24,14,
Kehilath Yakov Rabbinical Seminary,Kehilath Yakov Rabbinical Seminary,340  Illington Road,Ossining,-73.814887,41.220521,99,3069,,,,,,,,,15,
Keiser University-Ft Lauderdale,Keiser University-Ft Lauderdale,1500 NW 49th St.,Fort Lauderdale,-80.163959,26.185869,82,27649,,,,,,,,,12,
Kellogg Community College,Kellogg Community College,450 North Ave,Battle Creek,-85.177329,42.335638,50,,,,,,,,,,14,
Kendall College,Kendall College,900 N. North Branch St.,Chicago,-87.648936,41.898756,,,,,,,,,,,,
Kennebec Valley Community College,Kennebec Valley Community College,92 Western Ave,Fairfield,-69.611570,44.594149,82,,,,,,,,,,16,
Kennesaw State University,Kennesaw State University,1000 Chastain Rd,Kennesaw,-84.583052,34.038807,71,,13427,7779,550,640,530,630,21,26,21,
Kenneth Shuler School of Cosmetology and Nails-Columbia,Kenneth Shuler School of Cosmetology and Nails-Columbia,449 Saint Andrews Rd,Columbia,-81.132969,34.045282,63,16543,,,,,,,,,20,
Kenneth Shuler School of Cosmetology-Columbia,Kenneth Shuler School of Cosmetology-Columbia,7474 Garners Ferry Road,Columbia,-80.942005,33.964545,73,16026,,,,,,,,,20,
Kenneth Shuler School of Cosmetology-Florence,Kenneth Shuler School of Cosmetology-Florence,2443 West Lucas Street,Florence,-79.809450,34.238425,77,13497,,,,,,,,,20,
Kenneth Shuler School of Cosmetology-Goose Creek,Kenneth Shuler School of Cosmetology-Goose Creek,98 Davenport Street,Goose Creek,-80.065725,33.035472,72,17494,,,,,,,,,20,
Kenneth Shuler School of Cosmetology-Greenville,Kenneth Shuler School of Cosmetology-Greenville,3528-A Earl E. Morris Jr. Highway,Greenville,-82.484519,34.791087,70,13915,,,,,,,,,20,
Kenneth Shuler School of Cosmetology-North Augusta,Kenneth Shuler School of Cosmetology-North Augusta,1113 Knox Avenue,North Augusta,-81.957885,33.497587,70,16122,,,,,,,,,20,
Kenneth Shuler School of Cosmetology-Rock Hill,Kenneth Shuler School of Cosmetology-Rock Hill,2383 Cherry Road,Rock Hill,-80.994920,34.970168,75,17690,,,,,,,,,20,
Kenneth Shuler School of Cosmetology-Spartanburg,Kenneth Shuler School of Cosmetology-Spartanburg,1515 John B White SR Blvd,Spartanburg,-81.972727,34.923366,73,14255,,,,,,,,,20,
Kenny's Academy of Barbering,Kenny's Academy of Barbering,2150 Lafayette Road,Indianapolis,-86.207551,39.796440,77,15215,,,,,,,,,20,
Kenrick Glennon Seminary,Kenrick Glennon Seminary,5200 Glennon Dr,Saint Louis,-90.324024,38.584608,6,34320,12,9,,,,,,,7,
Kent State University at Ashtabula,Kent State University at Ashtabula,3300 Lake Road West,Ashtabula,-80.830377,41.888296,53,,,,,,,,,,22,
Kent State University at East Liverpool,Kent State University at East Liverpool,400 E 4th St,East Liverpool,-80.576702,40.616966,52,,,,,,,,,,26,
Kent State University at Geauga,Kent State University at Geauga,14111 Claridon-Troy Rd,Burton,-81.143085,41.483727,36,,,,,,,,,,22,
Kent State University at Kent,Kent State University at Kent,Executive Office  2nd Floor Library,Kent,-81.342533,41.146653,70,,16337,13944,520,620,510,590,20,25,20,
Kent State University at Salem,Kent State University at Salem,2491 State Route 45 South,Salem,-80.835458,40.864080,47,,,,,,,,,,21,
Kent State University at Stark,Kent State University at Stark,6000 Frank Ave NW,Canton,-81.437310,40.868568,48,,,,,,,,,,23,
Kent State University at Trumbull,Kent State University at Trumbull,4314 Mahoning Ave N.W.,Warren,-80.836233,41.278748,57,,,,,,,,,,27,
Kent State University at Tuscarawas,Kent State University at Tuscarawas,330 University Dr N.E.,New Philadelphia,-81.407707,40.467736,50,,,,,,,,,,22,
Kentucky Christian University,Kentucky Christian University,100 Academic Pkwy,Grayson,-82.945561,38.338805,85,18839,804,301,450,510,470,530,17,21,10,
Kentucky Community and Technical College System,Kentucky Community and Technical College System,300 North Main Street,Versailles,-84.727880,38.058771,,,,,,,,,,,,
Kentucky Horseshoeing School,Kentucky Horseshoeing School,3612 Lexington Road,Richmond,-84.340899,37.875066,50,20010,,,,,,,,,9,
Kentucky Mountain Bible College,Kentucky Mountain Bible College,855 Hwy 541,Jackson,-83.438765,37.603443,87,12365,53,26,490,550,410,460,15,25,12,
Kentucky State University,Kentucky State University,400 East Main Street,Frankfort,-84.855402,38.201427,73,,1660,1198,420,500,400,503,15,19,12,
Kentucky Wesleyan College,Kentucky Wesleyan College,3000 Frederica Street,Owensboro,-87.119658,37.744489,95,26422,1607,1031,390,593,440,580,19,26,13,
Kenyon College,Kenyon College,Kenyon College,Gambier,-82.397977,40.374408,58,32271,6152,2204,640,730,640,740,29,33,10,
Kettering College,Kettering College,3737 Southern Blvd,Kettering,-84.192006,39.695052,71,19037,199,53,580,600,560,600,20,24,10,
Kettering University,Kettering University,1700 University Avenue,Flint,-83.712820,43.012468,97,39036,2237,1572,590,670,600,700,25,30,15,
Keuka College,Keuka College,141 Central Avenue,Keuka Park,-77.090562,42.615253,88,25730,2291,1961,,,,,,,8,
Keune Academy by 124,Keune Academy by 124,755 Lawrenceville-Suwannee Rd Bldg 1300,Lawrenceville,-84.022530,33.964880,47,25270,,,,,,,,,13,
Keweenaw Bay Ojibwa Community College,Keweenaw Bay Ojibwa Community College,111 Beartown Road,Baraga,-88.507761,46.782535,76,,,,,,,,,,6,
Keweenaw Bay Ojibwa Community College - Wabanung Campus,Keweenaw Bay Ojibwa Community College - Wabanung Campus,770 N Main St,L'Anse,-88.447052,46.764477,,,,,,,,,,,,
Keystone College,Keystone College,One College Green,La Plume,-75.777456,41.558969,98,22301,2912,2056,,,,,,,12,
Kiamichi Technology Center-Atoka,Kiamichi Technology Center-Atoka,1763 West Liberty Road,Atoka,-96.153197,34.395445,,,,,,,,,,,,
Kiamichi Technology Center-Durant,Kiamichi Technology Center-Durant,810 Waldron Rd,Durant,-96.406143,33.945957,,,,,,,,,,,,
Kiamichi Technology Center-Hugo,Kiamichi Technology Center-Hugo,107 S 15th,Hugo,-95.494474,34.008320,,,,,,,,,,,,
Kiamichi Technology Center-Idabel,Kiamichi Technology Center-Idabel,3205 Lincoln Road NE,Idabel,-94.774993,33.921860,,,,,,,,,,,,
