,University,Address,City,Longitude,Latitude,Percent Receiving Financial Aid,Average Net Price,Total Applied,Total Admitted,SAT Reading/Writing 25th Percentile,SAT Reading/Writing 75th Percentile,SAT Math 25th Percentile,SAT Math 75th Percentile,ACT Composite 25th Percentile,ACT Composite 75th Percentile,Student-to-Faculty Ratio,Acceptance Rate,Academic Cluster,Academic Profile,Venue Cluster,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,Venue Profile
623,Oregon State University-Cascades Campus,1500 SW Chandler Avenue,Bend,-121.333703,44.042795,57.0,,477.0,372.0,505.0,640.0,520.0,615.0,21.0,27.0,11.0,77.9874213836478,1,Least Selective/Lower Scores,1,Brewery,Coffee Shop,New American Restaurant,Park,Sporting Goods Shop,Pub,Breakfast Spot,Bakery,Music Venue,Theater,BBQ Joint,Trail,Bar,Sandwich Place,Cocktail Bar,Outdoor Attractions
624,Otis College of Art and Design,9045 Lincoln Blvd,Los Angeles,-118.416615,33.956607,81.0,44855.0,1806.0,1705.0,540.0,640.0,510.0,630.0,20.0,26.0,8.0,94.40753045404207,0,Less Selective/Medium Scores,3,Mexican Restaurant,American Restaurant,Grocery Store,Fast Food Restaurant,Coffee Shop,Salad Place,Liquor Store,Dog Run,Park,Gym,Trail,Bakery,Frozen Yogurt Shop,Bar,Shopping Mall,Variety of Cuisines
625,Ottawa University-Ottawa,1001 South Cedar,Ottawa,-95.26418699999999,38.603173,100.0,25583.0,357.0,279.0,480.0,570.0,470.0,550.0,17.0,21.0,12.0,78.15126050420169,2,Less Selective/Lowest Scores,2,Fast Food Restaurant,Pizza Place,Discount Store,Ice Cream Shop,Bank,Sandwich Place,Coffee Shop,Truck Stop,Pharmacy,Hardware Store,BBQ Joint,Liquor Store,Park,Mexican Restaurant,Farm,Fast Food
626,Ottawa University-Surprise,15950 N. Civic Center Plaza,Surprise,-112.368233,33.628923,100.0,27064.0,1173.0,547.0,480.0,530.0,460.0,510.0,15.0,21.0,11.0,46.632566069906225,2,Less Selective/Lowest Scores,3,Coffee Shop,Grocery Store,Sandwich Place,Pizza Place,Fast Food Restaurant,Mexican Restaurant,Steakhouse,Frozen Yogurt Shop,Bagel Shop,Gym,Restaurant,Baseball Field,Baseball Stadium,Outdoor Supply Store,Bowling Alley,Variety of Cuisines
627,Otterbein University,1 South Grove Street,Westerville,-82.936444,40.125327,89.0,24255.0,2919.0,2365.0,555.0,650.0,550.0,635.0,21.0,27.0,11.0,81.02089756766016,0,Less Selective/Medium Scores,3,Pizza Place,Steakhouse,Burger Joint,Sandwich Place,Mexican Restaurant,Gastropub,Wings Joint,Ice Cream Shop,Chinese Restaurant,Breakfast Spot,Brazilian Restaurant,Bakery,Grocery Store,Fried Chicken Joint,Greek Restaurant,Variety of Cuisines
628,Ouachita Baptist University,410 Ouachita St,Arkadelphia,-93.052471,34.126093,98.0,18679.0,2162.0,1375.0,520.0,630.0,520.0,620.0,21.0,28.0,12.0,63.598519888991675,1,Least Selective/Lower Scores,2,Fast Food Restaurant,Discount Store,Sandwich Place,American Restaurant,Gas Station,Pizza Place,Breakfast Spot,Mexican Restaurant,Big Box Store,Video Game Store,Shipping Store,Grocery Store,Café,Donut Shop,BBQ Joint,Fast Food
629,Our Lady of the Lake University,411 SW 24th St.,San Antonio,-98.54365,29.426194,92.0,18021.0,4373.0,4055.0,460.0,550.0,450.0,530.0,17.0,21.0,11.0,92.72810427624056,2,Less Selective/Lowest Scores,3,Mexican Restaurant,Hotel,Plaza,Beer Garden,Grocery Store,Theater,Restaurant,Burger Joint,Park,Snack Place,Sandwich Place,Coffee Shop,Church,Concert Hall,Steakhouse,Variety of Cuisines
630,Ozark Christian College,1111 N Main St,Joplin,-94.510622,37.103172,91.0,15637.0,384.0,221.0,510.0,630.0,510.0,570.0,20.0,27.0,15.0,57.552083333333336,1,Least Selective/Lower Scores,3,American Restaurant,Burger Joint,Pizza Place,Mexican Restaurant,Japanese Restaurant,Coffee Shop,Fast Food Restaurant,Breakfast Spot,Restaurant,Bar,BBQ Joint,Trail,Fabric Shop,Bakery,Auto Garage,Variety of Cuisines
631,Pace University,1 Pace Plaza,New York,-74.004719,40.711014,87.0,31923.0,21520.0,16327.0,540.0,620.0,520.0,600.0,22.0,27.0,14.0,75.86895910780669,1,Least Selective/Lower Scores,0,Park,Hotel,Pier,Theater,Scenic Lookout,Garden,Memorial Site,Bridge,Theme Park Ride / Attraction,Thai Restaurant,Beach,Taco Place,Sushi Restaurant,Bookstore,Mediterranean Restaurant,Coffee and Casual
632,Pacific Lutheran University,12180 Park Ave South,Tacoma,-122.440421,47.14516,96.0,24174.0,3740.0,2984.0,540.0,640.0,530.0,630.0,20.0,28.0,12.0,79.78609625668449,0,Less Selective/Medium Scores,3,Coffee Shop,Mexican Restaurant,Burger Joint,Diner,Grocery Store,Hawaiian Restaurant,Gym / Fitness Center,Bookstore,Dive Bar,Korean Restaurant,Skating Rink,Miscellaneous Shop,Bakery,Gym,Bar,Variety of Cuisines
633,Pacific Union College,One Angwin Ave,Angwin,-122.440308,38.570584999999994,95.0,23005.0,1790.0,885.0,490.0,600.0,460.0,590.0,18.0,25.0,12.0,49.44134078212291,1,Least Selective/Lower Scores,0,Vineyard,American Restaurant,Winery,New American Restaurant,Restaurant,Hotel,Breakfast Spot,Resort,Coffee Shop,Train Station,Bakery,Spa,Sandwich Place,State / Provincial Park,Gourmet Shop,Coffee and Casual
634,Pacific University,2043 College Way,Forest Grove,-123.108777,45.521394,91.0,30337.0,2491.0,2125.0,530.0,630.0,530.0,620.0,21.0,27.0,10.0,85.30710558008832,1,Least Selective/Lower Scores,1,Coffee Shop,Café,Golf Course,Burger Joint,Chinese Restaurant,Mexican Restaurant,Asian Restaurant,Pizza Place,Trail,Brewery,Theater,Furniture / Home Store,Bar,Bank,Gastropub,Outdoor Attractions
635,Paine College,1235 15th St,Augusta,-81.993225,33.469545000000004,97.0,14614.0,3686.0,1464.0,410.0,490.0,370.0,490.0,14.0,18.0,10.0,39.71785132935432,2,Less Selective/Lowest Scores,0,American Restaurant,Deli / Bodega,Trail,Pizza Place,Seafood Restaurant,Bookstore,Golf Course,Japanese Restaurant,Grocery Store,Performing Arts Venue,French Restaurant,Supermarket,Fast Food Restaurant,Sandwich Place,Park,Coffee and Casual
636,Palm Beach Atlantic University,901 S. Flagler Drive,West Palm Beach,-80.05247,26.7044,78.0,24557.0,1444.0,1376.0,510.0,630.0,490.0,590.0,20.0,26.0,12.0,95.29085872576178,1,Least Selective/Lower Scores,0,American Restaurant,Italian Restaurant,Restaurant,Bar,Asian Restaurant,Art Museum,French Restaurant,Park,Harbor / Marina,Train Station,Steakhouse,Bakery,Resort,Beach,Shopping Plaza,Coffee and Casual
637,Pennsylvania State University-Main Campus,201 Old Main,University Park,-77.862848,40.7965,64.0,,52742.0,29793.0,580.0,660.0,580.0,700.0,25.0,30.0,14.0,56.48818778203329,0,Less Selective/Medium Scores,1,Café,Bar,Breakfast Spot,Salon / Barbershop,Hotel,Pizza Place,Mexican Restaurant,Clothing Store,College Basketball Court,College Auditorium,Salad Place,Theater,Thai Restaurant,Beer Store,Sandwich Place,Outdoor Attractions
638,Pennsylvania State University-Penn State Altoona,3000 Ivyside Park,Altoona,-78.408247,40.54092,80.0,,4486.0,4077.0,500.0,590.0,500.0,590.0,20.0,25.0,14.0,90.88274632189032,1,Least Selective/Lower Scores,4,Gas Station,Italian Restaurant,Bar,Sandwich Place,Mexican Restaurant,Pizza Place,Ice Cream Shop,Museum,Discount Store,Shopping Mall,Seafood Restaurant,Beer Garden,Furniture / Home Store,Supermarket,Lingerie Store,Pizza and Dessert
639,Pennsylvania State University-Penn State Beaver,100 University Drive,Monaca,-80.296235,40.678253999999995,87.0,,1298.0,835.0,490.0,600.0,510.0,610.0,20.0,25.0,13.0,64.32973805855163,1,Least Selective/Lower Scores,1,Ice Cream Shop,American Restaurant,Department Store,Pizza Place,Café,Hot Dog Joint,Grocery Store,Sandwich Place,Bakery,Coffee Shop,Pub,Clothing Store,Breakfast Spot,Pet Store,Brewery,Outdoor Attractions
640,Pennsylvania State University-Penn State Berks,Tulpehocken Road,Reading,-75.97214100000001,40.357987,80.0,,1817.0,1585.0,500.0,600.0,500.0,600.0,21.0,26.0,15.0,87.2317006053935,1,Least Selective/Lower Scores,3,Mexican Restaurant,Park,Sandwich Place,American Restaurant,BBQ Joint,Farmers Market,Brewery,Coffee Shop,Convenience Store,Shopping Mall,Furniture / Home Store,Grocery Store,Bakery,Latin American Restaurant,Vegetarian / Vegan Restaurant,Variety of Cuisines
641,Pennsylvania State University-Penn State Brandywine,25 Yearsley Mill Road,Media,-75.44698299999999,39.926381,80.0,,1369.0,1189.0,480.0,600.0,480.0,590.0,21.0,28.0,13.0,86.85171658144631,1,Least Selective/Lower Scores,0,Italian Restaurant,Pizza Place,American Restaurant,Park,Farmers Market,Restaurant,Spa,Burger Joint,Brewery,Bagel Shop,Liquor Store,Fried Chicken Joint,Breakfast Spot,Sandwich Place,Trail,Coffee and Casual
642,Pennsylvania State University-Penn State DuBois,1 College Place,DuBois,-78.751784,41.126940999999995,89.0,,344.0,291.0,490.0,590.0,490.0,590.0,19.0,21.0,11.0,84.59302325581395,1,Least Selective/Lower Scores,4,American Restaurant,Hotel,Gas Station,Pizza Place,Italian Restaurant,Discount Store,Seafood Restaurant,Ice Cream Shop,Clothing Store,Deli / Bodega,Department Store,Liquor Store,Pub,Pharmacy,Grocery Store,Pizza and Dessert
643,Pennsylvania State University-Penn State Erie-Behrend College,4701 College Drive,Erie,-79.983773,42.119433,78.0,,3392.0,3023.0,520.0,620.0,530.0,660.0,22.0,27.0,13.0,89.12146226415094,0,Less Selective/Medium Scores,4,Gas Station,American Restaurant,Diner,Pharmacy,Gym,Sandwich Place,Discount Store,Supermarket,Lighthouse,Buffet,Garden Center,Donut Shop,Bowling Alley,Fast Food Restaurant,Chinese Restaurant,Pizza and Dessert
644,Pennsylvania State University-Penn State Fayette- Eberly,2201 University Drive,Lemont Furnace,-79.65776899999999,39.947216999999995,90.0,,532.0,428.0,490.0,590.0,470.0,600.0,17.0,20.0,11.0,80.45112781954887,1,Least Selective/Lower Scores,4,Discount Store,Italian Restaurant,Ice Cream Shop,Pub,Fast Food Restaurant,Miscellaneous Shop,Bar,Sandwich Place,Big Box Store,History Museum,American Restaurant,Theater,Spa,Pharmacy,Diner,Pizza and Dessert
645,Pennsylvania State University-Penn State Greater Allegheny,4000 University Drive,McKeesport,-79.82744699999999,40.345582,87.0,,393.0,343.0,460.0,590.0,470.0,650.0,23.0,27.0,9.0,87.27735368956743,1,Least Selective/Lower Scores,4,Theme Park Ride / Attraction,Pizza Place,Italian Restaurant,Discount Store,Sandwich Place,Ice Cream Shop,Brewery,Fast Food Restaurant,Gym,Bar,Playground,Grocery Store,Hot Dog Joint,Dive Bar,Golf Course,Pizza and Dessert
646,Pennsylvania State University-Penn State Harrisburg,777 West Harrisburg Pike,Middletown,-76.7423,40.203765999999995,73.0,,4588.0,4026.0,520.0,610.0,530.0,680.0,23.0,27.0,15.0,87.75065387968614,0,Less Selective/Medium Scores,1,Pizza Place,Bar,Brewery,Ice Cream Shop,Pub,Park,American Restaurant,Gas Station,Diner,Grocery Store,Coffee Shop,Discount Store,Trail,Flea Market,Sandwich Place,Outdoor Attractions
647,Pennsylvania State University-Penn State Hazleton,76 University Drive,Hazleton,-76.031061,40.983958,90.0,,473.0,406.0,460.0,580.0,470.0,560.0,20.0,28.0,11.0,85.83509513742071,1,Least Selective/Lower Scores,4,Bar,American Restaurant,Discount Store,Pizza Place,Mexican Restaurant,Italian Restaurant,Bakery,Arts & Crafts Store,Donut Shop,Ice Cream Shop,Video Game Store,Chinese Restaurant,Coffee Shop,Pharmacy,Bowling Alley,Pizza and Dessert
648,Pennsylvania State University-Penn State Lehigh Valley,2809 Saucon Valley Road,Center Valley,-75.402507,40.559208,79.0,,1045.0,892.0,500.0,600.0,510.0,600.0,19.0,28.0,14.0,85.35885167464114,1,Least Selective/Lower Scores,0,Golf Course,Clothing Store,Brewery,Italian Restaurant,Sandwich Place,Ice Cream Shop,American Restaurant,Hotel,Furniture / Home Store,Mexican Restaurant,Massage Studio,Bookstore,Gift Shop,Thai Restaurant,Grocery Store,Coffee and Casual
649,Pennsylvania State University-Penn State Mont Alto,1 Campus Drive,Mont Alto,-77.542355,39.842046999999994,87.0,,554.0,422.0,480.0,590.0,490.0,590.0,22.0,27.0,9.0,76.17328519855594,1,Least Selective/Lower Scores,4,Discount Store,Golf Course,Italian Restaurant,Food & Drink Shop,Post Office,Pharmacy,Farmers Market,Diner,Pizza Place,Café,Antique Shop,Gas Station,Construction & Landscaping,Ice Cream Shop,Fishing Store,Pizza and Dessert
650,Pennsylvania State University-Penn State New Kensington,3550 Seventh Street Road,New Kensington,-79.697232,40.551159000000006,82.0,,441.0,353.0,500.0,590.0,490.0,600.0,18.0,25.0,11.0,80.04535147392289,1,Least Selective/Lower Scores,4,Pizza Place,Pharmacy,Ice Cream Shop,Sandwich Place,Gas Station,American Restaurant,Bar,Beer Garden,Diner,Discount Store,Automotive Shop,Dive Bar,Bagel Shop,Grocery Store,Brewery,Pizza and Dessert
651,Pennsylvania State University-Penn State Scranton,120 Ridge View Drive,Dunmore,-75.620583,41.440258,85.0,,666.0,548.0,480.0,580.0,490.0,570.0,16.0,21.0,13.0,82.28228228228228,1,Least Selective/Lower Scores,1,Pizza Place,Bar,Italian Restaurant,Coffee Shop,Burger Joint,Diner,American Restaurant,Sushi Restaurant,Café,Park,Laser Tag,Donut Shop,Supermarket,Bakery,Fast Food Restaurant,Outdoor Attractions
652,Pennsylvania State University-Penn State Shenango,147 Shenango Avenue,Sharon,-80.508764,41.235053,96.0,,165.0,123.0,445.0,540.0,455.0,515.0,18.0,21.0,8.0,74.54545454545455,2,Less Selective/Lowest Scores,4,Discount Store,Ice Cream Shop,Gas Station,Italian Restaurant,Sandwich Place,Bar,Wings Joint,American Restaurant,Golf Course,Mexican Restaurant,Candy Store,Department Store,Pharmacy,Mobile Phone Shop,Grocery Store,Pizza and Dessert
653,Pennsylvania State University-Penn State Wilkes-Barre,Old Route 115,Lehman,-76.016599,41.306003000000004,86.0,,293.0,252.0,490.0,570.0,500.0,570.0,24.0,27.0,10.0,86.00682593856655,1,Least Selective/Lower Scores,4,Pizza Place,American Restaurant,Pharmacy,Discount Store,Coffee Shop,Gas Station,Sandwich Place,Bar,Donut Shop,Lake,Mexican Restaurant,Bagel Shop,Dive Bar,Golf Course,Seafood Restaurant,Pizza and Dessert
654,Pennsylvania State University-Penn State York,1031 Edgecomb Avenue,York,-76.702835,39.952327000000004,71.0,,1139.0,972.0,510.0,620.0,520.0,680.0,21.0,25.0,14.0,85.33801580333626,0,Less Selective/Medium Scores,1,Pizza Place,Ice Cream Shop,Bar,Coffee Shop,Brewery,Fast Food Restaurant,Restaurant,Gym,Mexican Restaurant,Sushi Restaurant,American Restaurant,Burger Joint,Sandwich Place,Flea Market,Burrito Place,Outdoor Attractions
655,Pennsylvania State University-World Campus,128 Outreach Building,University Park,-77.841594,40.832783,66.0,,962.0,522.0,510.0,630.0,480.0,630.0,21.0,27.0,17.0,54.26195426195426,0,Less Selective/Medium Scores,0,Café,Park,Hotel,American Restaurant,Coffee Shop,Pizza Place,Indian Restaurant,Thai Restaurant,Beer Store,Beer Garden,Sandwich Place,German Restaurant,College Auditorium,College Baseball Diamond,College Basketball Court,Coffee and Casual
656,Pfeiffer University,48380 US Hwy 52N,Misenheimer,-80.283168,35.484696,84.0,19554.0,2701.0,1743.0,450.0,570.0,450.0,560.0,17.0,22.0,10.0,64.53165494261384,2,Less Selective/Lowest Scores,2,Fast Food Restaurant,Park,Sandwich Place,Gas Station,Supermarket,Discount Store,Fried Chicken Joint,Pharmacy,Zoo Exhibit,Fair,Farm,Falafel Restaurant,Eye Doctor,Fabric Shop,Exhibit,Fast Food
657,Piedmont International University,420 S. Broad St.,Winston-Salem,-80.250153,36.087962,97.0,13491.0,496.0,171.0,440.0,540.0,450.0,520.0,16.0,20.0,9.0,34.475806451612904,2,Less Selective/Lowest Scores,1,Bar,Brewery,Grocery Store,Bakery,Park,Pizza Place,Coffee Shop,BBQ Joint,Southern / Soul Food Restaurant,Wine Shop,Mediterranean Restaurant,American Restaurant,Baseball Stadium,Museum,French Restaurant,Outdoor Attractions
658,Point Loma Nazarene University,3900 Lomaland Dr,San Diego,-117.25026499999998,32.718391,83.0,31933.0,3473.0,2394.0,580.0,650.0,560.0,650.0,24.0,29.0,14.0,68.93175928591995,0,Less Selective/Medium Scores,1,Park,Brewery,Seafood Restaurant,Mexican Restaurant,Grocery Store,Bar,Hotel,American Restaurant,Coffee Shop,Pizza Place,Market,BBQ Joint,Bakery,Beach,Scenic Lookout,Outdoor Attractions
659,Point Park University,201 Wood St,Pittsburgh,-80.002061,40.438767999999996,92.0,21713.0,5834.0,3796.0,500.0,620.0,480.0,570.0,20.0,25.0,12.0,65.06684950291395,1,Least Selective/Lower Scores,1,Bar,Hotel,American Restaurant,Taco Place,Seafood Restaurant,Steakhouse,Scenic Lookout,Thai Restaurant,Gastropub,Sandwich Place,Clothing Store,Monument / Landmark,Theater,Park,Baseball Stadium,Outdoor Attractions
660,Point University,507 West 10th Street,West Point,-85.184931,32.87912,98.0,21070.0,1228.0,653.0,440.0,550.0,440.0,535.0,16.0,22.0,17.0,53.17589576547231,2,Less Selective/Lowest Scores,2,Pizza Place,Gas Station,Fast Food Restaurant,Mexican Restaurant,Fried Chicken Joint,Convenience Store,Discount Store,Tourist Information Center,Sandwich Place,American Restaurant,Breakfast Spot,Restaurant,Seafood Restaurant,Donut Shop,Liquor Store,Fast Food
661,Pomona College,550 N College Ave,Claremont,-117.714556,34.099027,61.0,16988.0,10245.0,780.0,700.0,760.0,700.0,780.0,31.0,34.0,7.0,7.613469985358712,3,Most Selective/Highest Scores,3,Mexican Restaurant,Bakery,Brewery,Italian Restaurant,Ice Cream Shop,Garden,Mediterranean Restaurant,Gym,American Restaurant,Fast Food Restaurant,Gastropub,Grocery Store,Restaurant,Trail,Chinese Restaurant,Variety of Cuisines
662,Portland State University,724 SW Harrison,Portland,-122.68628899999999,45.511601,49.0,,6743.0,6082.0,510.0,630.0,500.0,600.0,18.0,25.0,21.0,90.19724158386475,1,Least Selective/Lower Scores,0,Coffee Shop,Park,Hotel,Bookstore,Israeli Restaurant,Bakery,Toy / Game Store,Science Museum,Tram Station,Modern European Restaurant,Latin American Restaurant,Farmers Market,Garden,Vegetarian / Vegan Restaurant,Botanical Garden,Coffee and Casual
663,Prairie View A & M University,FM 1098 Road & University Drive,Prairie View,-95.989475,30.092425,83.0,,7158.0,5321.0,450.0,530.0,440.0,520.0,16.0,21.0,19.0,74.3364068175468,2,Less Selective/Lowest Scores,2,Fast Food Restaurant,BBQ Joint,Gas Station,Seafood Restaurant,Liquor Store,Post Office,Hotel Bar,Sandwich Place,Discount Store,Big Box Store,Moving Target,Business Service,Restaurant,Pizza Place,Falafel Restaurant,Fast Food
664,Pratt Institute-Main,200 Willoughby Ave,Brooklyn,-73.96431,40.691297,74.0,44920.0,8136.0,4125.0,520.0,620.0,530.0,690.0,25.0,30.0,9.0,50.700589970501476,0,Less Selective/Medium Scores,0,Bar,Ice Cream Shop,Bookstore,Park,Farmers Market,Gourmet Shop,Cocktail Bar,Track,Donut Shop,Beach,Theater,Beer Bar,Tapas Restaurant,Coffee Shop,Plaza,Coffee and Casual
665,Presbyterian College,503 South Broad Street,Clinton,-81.87448,34.465834,93.0,19628.0,2462.0,1695.0,510.0,620.0,500.0,590.0,19.0,25.0,11.0,68.84646628757109,1,Least Selective/Lower Scores,2,Fast Food Restaurant,Pizza Place,Breakfast Spot,Grocery Store,Intersection,Discount Store,Hotel,American Restaurant,Sandwich Place,Fried Chicken Joint,Café,Gas Station,Bank,Motel,Hospital,Fast Food
666,Presentation College,1500 N Main,Aberdeen,-98.49129,45.483339,94.0,21067.0,262.0,253.0,480.0,555.0,483.0,538.0,18.0,23.0,11.0,96.56488549618321,2,Less Selective/Lowest Scores,3,American Restaurant,Fast Food Restaurant,Mexican Restaurant,Pizza Place,Sandwich Place,Coffee Shop,Park,Ice Cream Shop,Sports Bar,Gym / Fitness Center,Hardware Store,Italian Restaurant,Convenience Store,Café,Steakhouse,Variety of Cuisines
667,Princeton University,1 Nassau Hall,Princeton,-74.65936500000001,40.348732,59.0,16192.0,35370.0,1940.0,710.0,770.0,730.0,800.0,32.0,35.0,5.0,5.484874187164263,3,Most Selective/Highest Scores,1,Pizza Place,Ice Cream Shop,Gourmet Shop,Seafood Restaurant,Wine Shop,Coffee Shop,Clothing Store,Trail,Market,College Bookstore,Greek Restaurant,Library,Theater,Bed & Breakfast,Tapas Restaurant,Outdoor Attractions
668,Principia College,1 Maybeck Place,Elsah,-90.350285,38.948834999999995,98.0,13734.0,149.0,137.0,520.0,660.0,508.0,640.0,22.0,29.0,6.0,91.94630872483222,0,Less Selective/Medium Scores,0,Bar,Café,River,Water Park,Seafood Restaurant,Gym / Fitness Center,Boat or Ferry,Gas Station,Furniture / Home Store,Restaurant,Resort,Home Service,Park,New American Restaurant,Construction & Landscaping,Coffee and Casual
669,Purdue University Fort Wayne,2101 E Coliseum Blvd,Fort Wayne,-85.108962,41.117278000000006,52.0,,4777.0,4615.0,490.0,590.0,480.0,590.0,18.0,25.0,16.0,96.60875026167051,1,Least Selective/Lower Scores,3,Coffee Shop,Mexican Restaurant,Bar,Steakhouse,Grocery Store,Pizza Place,Park,Italian Restaurant,Fast Food Restaurant,American Restaurant,Zoo,Gym / Fitness Center,Bakery,Bagel Shop,Bookstore,Variety of Cuisines
670,Purdue University Northwest,2200 169th Street,Hammond,-87.474236,41.584324,48.0,,4849.0,1507.0,470.0,520.0,460.0,520.0,19.0,25.0,17.0,31.078572901629204,2,Less Selective/Lowest Scores,3,Mexican Restaurant,Pizza Place,Ice Cream Shop,Donut Shop,Coffee Shop,Sporting Goods Shop,Brewery,Pharmacy,Bar,Burger Joint,BBQ Joint,American Restaurant,Hot Dog Joint,Fast Food Restaurant,Chinese Restaurant,Variety of Cuisines
671,Purdue University-Main Campus,Hovde Hall of Administration,West Lafayette,-86.914435,40.428206,51.0,,53722.0,31146.0,590.0,680.0,590.0,730.0,25.0,32.0,13.0,57.97624809202934,3,Most Selective/Highest Scores,1,Bar,Mexican Restaurant,Coffee Shop,Burger Joint,Park,Grocery Store,Brewery,Sandwich Place,Café,Bakery,Pizza Place,College Football Field,Ice Cream Shop,Beer Bar,Theater,Outdoor Attractions
672,Queens University of Charlotte,1900 Selwyn Ave,Charlotte,-80.83350899999999,35.189051,85.0,21651.0,2419.0,1900.0,520.0,618.0,513.0,600.0,21.0,26.0,10.0,78.54485324514262,1,Least Selective/Lower Scores,0,Bakery,Park,Peruvian Restaurant,Pizza Place,American Restaurant,Mexican Restaurant,Breakfast Spot,Burger Joint,Mediterranean Restaurant,BBQ Joint,Latin American Restaurant,Bookstore,Gym / Fitness Center,Gift Shop,Sushi Restaurant,Coffee and Casual
673,Quincy University,1800 College Ave,Quincy,-91.385975,39.938897999999995,93.0,18547.0,1212.0,826.0,490.0,580.0,470.0,560.0,18.0,25.0,14.0,68.15181518151815,1,Least Selective/Lower Scores,4,Pizza Place,American Restaurant,Park,Italian Restaurant,BBQ Joint,Diner,Asian Restaurant,Bakery,Bar,Sandwich Place,Lingerie Store,Grocery Store,Pharmacy,Coffee Shop,Steakhouse,Pizza and Dessert
674,Quinnipiac University,Mt Carmel Ave,Hamden,-72.89411700000001,41.418915000000005,88.0,40208.0,22757.0,16493.0,550.0,630.0,540.0,630.0,23.0,28.0,14.0,72.47440348024784,0,Less Selective/Medium Scores,1,Ice Cream Shop,Sandwich Place,Trail,Italian Restaurant,Deli / Bodega,Pharmacy,Gym,Coffee Shop,American Restaurant,Farm,Bar,Pizza Place,Breakfast Spot,Mexican Restaurant,Grocery Store,Outdoor Attractions
675,Ramapo College of New Jersey,505 Ramapo Valley Rd,Mahwah,-74.174086,41.080942,44.0,,6945.0,4368.0,530.0,620.0,520.0,620.0,21.0,26.0,16.0,62.89416846652268,1,Least Selective/Lower Scores,1,Pizza Place,Italian Restaurant,Sushi Restaurant,Ice Cream Shop,Spa,Donut Shop,Coffee Shop,Burger Joint,Café,BBQ Joint,Trail,Bakery,Gym / Fitness Center,Grocery Store,Shoe Store,Outdoor Attractions
676,Randall University,3701 S. I-35 Frontage Road,Moore,-97.491107,35.300757,93.0,16873.0,202.0,102.0,470.0,560.0,470.0,540.0,17.0,22.0,15.0,50.495049504950494,2,Less Selective/Lowest Scores,3,Burger Joint,Sandwich Place,Mexican Restaurant,Fast Food Restaurant,Sushi Restaurant,Big Box Store,Pizza Place,Restaurant,Breakfast Spot,Ice Cream Shop,Asian Restaurant,Liquor Store,BBQ Joint,Pet Store,Bar,Variety of Cuisines
677,Randolph College,2500 Rivermont Ave,Lynchburg,-79.171887,37.437315000000005,98.0,25988.0,1576.0,1366.0,480.0,620.0,480.0,570.0,18.0,25.0,9.0,86.6751269035533,1,Least Selective/Lower Scores,3,American Restaurant,Bar,Mexican Restaurant,Diner,Pizza Place,Southern / Soul Food Restaurant,Trail,Coffee Shop,Grocery Store,Farmers Market,BBQ Joint,Gym,Park,Museum,Bookstore,Variety of Cuisines
678,Randolph-Macon College,204 Henry St,Ashland,-77.47841600000001,37.76043,99.0,27275.0,2907.0,1951.0,520.0,630.0,500.0,610.0,20.0,27.0,11.0,67.11386308909528,1,Least Selective/Lower Scores,4,Pizza Place,Fast Food Restaurant,American Restaurant,Hotel,Brewery,Coffee Shop,Sandwich Place,Gas Station,Discount Store,Burger Joint,Campground,Smoke Shop,Train Station,BBQ Joint,Bakery,Pizza and Dessert
679,Reed College,3203 SE Woodstock Blvd,Portland,-122.630348,45.480959000000006,50.0,31977.0,5957.0,2087.0,670.0,750.0,640.0,770.0,30.0,33.0,9.0,35.03441329528286,3,Most Selective/Highest Scores,1,Brewery,Coffee Shop,Breakfast Spot,Bakery,Food Truck,Ice Cream Shop,Deli / Bodega,Burger Joint,Pizza Place,Grocery Store,Sandwich Place,Park,Bar,Taco Place,Garden,Outdoor Attractions
680,Regent University,1000 Regent University Dr,Virginia Beach,-76.194627,36.801173,83.0,16779.0,2913.0,2379.0,498.0,578.0,460.0,535.0,19.0,25.0,47.0,81.66838311019568,2,Less Selective/Lowest Scores,3,Coffee Shop,Sandwich Place,American Restaurant,Supermarket,Gym / Fitness Center,Bakery,Convenience Store,Sports Bar,Burger Joint,Frozen Yogurt Shop,Boxing Gym,Furniture / Home Store,Gym,Sushi Restaurant,Grocery Store,Variety of Cuisines
681,Regis University,3333 Regis Blvd,Denver,-105.03075600000001,39.788175,58.0,26273.0,7297.0,4399.0,530.0,620.0,520.0,610.0,21.0,27.0,14.0,60.28504865013019,1,Least Selective/Lower Scores,1,Pizza Place,Coffee Shop,Italian Restaurant,Breakfast Spot,Mexican Restaurant,Liquor Store,New American Restaurant,Vegetarian / Vegan Restaurant,Brewery,Ice Cream Shop,Cocktail Bar,Sandwich Place,Bar,Bakery,Bagel Shop,Outdoor Attractions
