,University,Address,City,Longitude,Latitude,Percent Receiving Financial Aid,Average Net Price,Total Applied,Total Admitted,SAT Reading/Writing 25th Percentile,SAT Reading/Writing 75th Percentile,SAT Math 25th Percentile,SAT Math 75th Percentile,ACT Composite 25th Percentile,ACT Composite 75th Percentile,Student-to-Faculty Ratio,Acceptance Rate,Academic Cluster,Academic Profile,Venue Cluster,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,Venue Profile
394,Jacksonville University,2800 University Blvd N,Jacksonville,-81.60458,30.353227,75.0,21820.0,4298.0,3865.0,460.0,560.0,440.0,645.0,21.0,27.0,11.0,89.92554676593765,1,Least Selective/Lower Scores,1,Bar,Grocery Store,Brewery,Park,Lounge,Food Truck,Coffee Shop,Caribbean Restaurant,Sushi Restaurant,Concert Hall,Steakhouse,Baseball Stadium,Beer Garden,Theater,Thai Restaurant,Outdoor Attractions
395,James Madison University,800 South Main Street,Harrisonburg,-78.87048399999999,38.436310999999996,35.0,,23149.0,16467.0,570.0,650.0,550.0,640.0,23.0,28.0,16.0,71.13482223854162,0,Less Selective/Medium Scores,1,Brewery,Ice Cream Shop,Bar,Vegetarian / Vegan Restaurant,Coffee Shop,Sandwich Place,Mexican Restaurant,Pizza Place,Food Truck,Steakhouse,Burger Joint,Thai Restaurant,Southern / Soul Food Restaurant,Grocery Store,Restaurant,Outdoor Attractions
396,Jefferson College of Health Sciences,101 Elm Avenue SE,Roanoke,-79.939574,37.265985,95.0,25433.0,838.0,251.0,485.0,580.0,445.0,535.0,17.0,21.0,8.0,29.952267303102627,2,Less Selective/Lowest Scores,1,American Restaurant,Brewery,Ice Cream Shop,Pizza Place,Burger Joint,Farmers Market,Breakfast Spot,Other Great Outdoors,Coffee Shop,Park,Restaurant,Café,Antique Shop,Diner,Taco Place,Outdoor Attractions
397,Jewish Theological Seminary of America,3080 Broadway,New York,-73.96058199999999,40.811892,68.0,53557.0,139.0,65.0,690.0,760.0,650.0,760.0,30.0,34.0,6.0,46.76258992805755,3,Most Selective/Highest Scores,0,Park,Pizza Place,Scenic Lookout,Yoga Studio,Supermarket,Italian Restaurant,Wine Shop,Coffee Shop,Cocktail Bar,Bagel Shop,Grocery Store,Bike Trail,Theater,Ice Cream Shop,Lingerie Store,Coffee and Casual
398,John Brown University,2000 W University St,Siloam Springs,-94.560283,36.189811999999996,75.0,22390.0,1094.0,844.0,580.0,695.0,530.0,670.0,23.0,30.0,14.0,77.14808043875686,0,Less Selective/Medium Scores,4,Pizza Place,Fast Food Restaurant,American Restaurant,Mexican Restaurant,Chinese Restaurant,BBQ Joint,Café,Breakfast Spot,Fried Chicken Joint,Discount Store,Big Box Store,Gym / Fitness Center,Gym,Grocery Store,Sandwich Place,Pizza and Dessert
399,John Carroll University,1 John Carroll Boulevard,University Heights,-81.531338,41.491321,94.0,28765.0,4007.0,3336.0,550.0,640.0,540.0,650.0,22.0,28.0,13.0,83.25430496630895,0,Less Selective/Medium Scores,0,Grocery Store,Coffee Shop,American Restaurant,Sandwich Place,Bakery,Shopping Mall,Park,Café,Pizza Place,Restaurant,Furniture / Home Store,Gym / Fitness Center,Bagel Shop,Toy / Game Store,Chinese Restaurant,Coffee and Casual
400,John Paul the Great Catholic University,155 W. Grand Ave,Escondido,-117.082401,33.12085,98.0,29168.0,220.0,199.0,490.0,640.0,470.0,600.0,20.0,29.0,15.0,90.45454545454545,1,Least Selective/Lower Scores,3,Mexican Restaurant,Sandwich Place,American Restaurant,Cosmetics Shop,Burger Joint,Grocery Store,Fast Food Restaurant,Vietnamese Restaurant,Paper / Office Supplies Store,Bagel Shop,Donut Shop,Gym,Music Venue,Greek Restaurant,Ice Cream Shop,Variety of Cuisines
401,Johns Hopkins University,3400 N Charles St,Baltimore,-76.621595,39.328977,53.0,27868.0,29776.0,3417.0,710.0,760.0,740.0,800.0,33.0,35.0,7.0,11.475685115529286,3,Most Selective/Highest Scores,1,Coffee Shop,Bar,Park,Dessert Shop,Italian Restaurant,Brewery,Art Museum,Breakfast Spot,Korean Restaurant,French Restaurant,BBQ Joint,Track,Gym / Fitness Center,Movie Theater,New American Restaurant,Outdoor Attractions
402,Johnson C Smith University,100 Beatties Ford Road,Charlotte,-80.857251,35.243033000000004,94.0,18991.0,6369.0,2919.0,420.0,490.0,390.0,490.0,14.0,18.0,12.0,45.831370701837024,2,Less Selective/Lowest Scores,0,Park,Brewery,Restaurant,Hotel,Beer Garden,Theater,Deli / Bodega,American Restaurant,Steakhouse,Bar,Diner,Rock Club,BBQ Joint,Performing Arts Venue,Coffee Shop,Coffee and Casual
403,Johnson University,7900 Johnson Dr,Knoxville,-83.75027299999999,35.937193,88.0,18684.0,348.0,248.0,530.0,630.0,520.0,610.0,20.0,25.0,10.0,71.26436781609196,1,Least Selective/Lower Scores,2,Fast Food Restaurant,Hotel,Pizza Place,Video Store,Italian Restaurant,American Restaurant,Sandwich Place,Discount Store,ATM,Breakfast Spot,Café,Southern / Soul Food Restaurant,Chinese Restaurant,Cocktail Bar,Restaurant,Fast Food
